Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
3,"HA Nguyen, TT Nguyen, TN Nguyen, ...",Interaction-Based Tracking of Program Entities for Test Case Evolution,2017,… and Evolution (ICSME …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8094442/,"https://scholar.google.com/scholar?cites=3290196885932383910&as_sdt=2005&sciodt=0,5&hl=en",253,25-01-21,,,,,,,,,3,0.75,1,4,4
3,"D Dig, R Johnson, D Marinov, B Bailey, ...",COPE: vision for a change-oriented programming environment,2016,Proceedings of the 38th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2889160.2889208,"https://scholar.google.com/scholar?cites=9572707557733813674&as_sdt=2005&sciodt=0,5&hl=en",254,25-01-21,,,,,,,,,3,0.6,1,5,5
31,"A Kishan, K Thirumalai, RA Pletcher, ...",API namespace virtualization,2018,US Patent …,Google Patents,https://patents.google.com/patent/US10089119B2/en,"https://scholar.google.com/scholar?cites=4064238334680710213&as_sdt=2005&sciodt=0,5&hl=en",255,25-01-21,,,,,,,,,31,10.33,8,4,3
6,Z Xing,Supporting object-oriented evolutionary development by design evolution analysis,2008,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.6390&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=16136383109069287284&as_sdt=2005&sciodt=0,5&hl=en",256,25-01-21,BOOK,,,,,,,,6,0.46,6,1,13
15,"P Calciati, K Kuznetsov, X Bai, A Gorla",What did really change with the new release of the app?,2018,Proceedings of the 15th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3196398.3196449,"https://scholar.google.com/scholar?cites=10147143631336052720&as_sdt=2005&sciodt=0,5&hl=en",257,25-01-21,,,,,,,,,15,5,4,4,3
26,"S Wang, WA Higashino, M Hayes, ...",Service evolution patterns,2014,… Conference on Web …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6928899/,"https://scholar.google.com/scholar?cites=13014341950698766444&as_sdt=2005&sciodt=0,5&hl=en",258,25-01-21,,,,,,,,,26,3.71,7,4,7
3,"YM Mileva, A Zeller",Assessing modularity via usage changes,2011,Proceedings of the 10th ACM SIGPLAN-SIGSOFT …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2024569.2024577,"https://scholar.google.com/scholar?cites=15159704180260656669&as_sdt=2005&sciodt=0,5&hl=en",259,25-01-21,,,,,,,,,3,0.3,2,2,10
38,"E Murphy-Hill, AP Black, D Dig, C Parnin",Gathering refactoring data: a comparison of four methods,2008,Proceedings of the 2nd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1636642.1636649,"https://scholar.google.com/scholar?cites=17707431856984739537&as_sdt=2005&sciodt=0,5&hl=en",260,25-01-21,,,,,,,,,38,2.92,10,4,13
9,"H Li, S Thompson",Automated API migration in a user-extensible refactoring tool for Erlang programs,2012,2012 Proceedings of the 27th IEEE/ACM …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6494939/,"https://scholar.google.com/scholar?cites=14581629165443933613&as_sdt=2005&sciodt=0,5&hl=en",261,25-01-21,,,,,,,,,9,1,5,2,9
23,"E Wittern, A Cha, JA Laredo",Generating GraphQL-wrappers for REST (-like) APIs,2018,International Conference on Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-91662-0_5,"https://scholar.google.com/scholar?cites=5652561924950437167&as_sdt=2005&sciodt=0,5&hl=en",262,25-01-21,,,,,,,,,23,7.67,8,3,3
85,"M Nita, D Notkin",Using twinning to adapt programs to alternative APIs,2010,… ACM/IEEE 32nd International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6062088/,"https://scholar.google.com/scholar?cites=16112872054155661653&as_sdt=2005&sciodt=0,5&hl=en",263,25-01-21,,,,,,,,,85,7.73,43,2,11
0,"S Kawuma, E Nabaasa",Identification of promoted eclipse unstable interfaces using clone detection technique,2018,International Journal of Software …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3271634,,264,25-01-21,,,,,,,,,0,0,0,2,3
54,"D Grosser, HA Sahraoui, ...",An analogy-based approach for predicting design stability of Java classes,2004,… International Workshop on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1232472/,"https://scholar.google.com/scholar?cites=7130933422288131080&as_sdt=2005&sciodt=0,5&hl=en",265,25-01-21,,,,,,,,,54,3.18,18,3,17
0,"D Binkley, R Koschke, S Mancoridis, D Strein, R Lincke, ...",Special Section on the Int'l Conference on Software Maintenance and Evolution,2007,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4375376/,,266,25-01-21,CITATION,,,,,,,,0,0,0,6,14
2,"S Mostafa, R Rodriguez, X Wang",Netdroid: Summarizing network behavior of android apps for network code maintenance,2017,2017 IEEE/ACM 25th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7961514/,"https://scholar.google.com/scholar?cites=1875392669364886975&as_sdt=2005&sciodt=0,5&hl=en",267,25-01-21,,,,,,,,,2,0.5,1,3,4
0,J Tulach,Separate APIs for Clients and Providers,2008,Practical API Design: Confessions of a Java …,Springer,https://link.springer.com/chapter/10.1007/978-1-4302-0974-4_8,,268,25-01-21,,,,,,,,,0,0,0,1,13
89,"M Linares-Vásquez, K Moran, ...","Continuous, evolutionary and large-scale: A new perspective for automated mobile app testing",2017,2017 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8094439/,"https://scholar.google.com/scholar?cites=18196058658842303974&as_sdt=2005&sciodt=0,5&hl=en",269,25-01-21,,,,,,,,,89,22.25,30,3,4
7,"H Huang, L Wei, Y Liu, SC Cheung",Understanding and detecting callback compatibility issues for android applications,2018,Proceedings of the 33rd ACM/IEEE …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3238147.3238181,"https://scholar.google.com/scholar?cites=7848731292976480089&as_sdt=2005&sciodt=0,5&hl=en",270,25-01-21,,,,,,,,,7,2.33,2,4,3
0,"A Yamashita, M Zanoni, FA Fontana, B Walter—Oslo",Technical Research Track,,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/7332443/,,271,25-01-21,,,,,,,,,0,0,0,4,
3,"D Dig, R Johnson, D Marinov",Toward automatic upgrade of component-based applications,2006,,researchgate.net,https://www.researchgate.net/profile/Ralph_Johnson4/publication/266496467_Toward_Automatic_Upgrade_of_Component-Based_Applications/links/555f593808ae8c0cab30b08b/Toward-Automatic-Upgrade-of-Component-Based-Applications.pdf,"https://scholar.google.com/scholar?cites=1536798902785276062&as_sdt=2005&sciodt=0,5&hl=en",272,25-01-21,PDF,,,,,,,,3,0.2,1,3,15
1,"R Padmanaban, M Thirumaran, P Anitha, ...",Computability Evaluation of RESTful API using Primitive Recursive Function,2018,Journal Of King Saud …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1319157818309157,"https://scholar.google.com/scholar?cites=3620454708475886552&as_sdt=2005&sciodt=0,5&hl=en",273,25-01-21,HTML,,,,,,,,1,0.33,0,4,3
216,"M Kim, T Zimmermann, N Nagappan",A field study of refactoring challenges and benefits,2012,Proceedings of the ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2393596.2393655,"https://scholar.google.com/scholar?cites=13564647354559224481&as_sdt=2005&sciodt=0,5&hl=en",274,25-01-21,,,,,,,,,216,24,72,3,9
47,"R Fuhrer, M Keller, A Kiezun","Advanced refactoring in the Eclipse JDT: Past, present, and future",2007,Proc. ECOOP Workshop on …,eecs.tu-berlin.de,http://www.eecs.tu-berlin.de/fileadmin/f4/TechReports/2007/2007-08.pdf#page=39,"https://scholar.google.com/scholar?cites=12699194588077233910&as_sdt=2005&sciodt=0,5&hl=en",275,25-01-21,PDF,,,,,,,,47,3.36,16,3,14
0,RS Santos,Suporte à Evolução de API,2018,,recipp.ipp.pt,http://recipp.ipp.pt/handle/10400.22/11933,,276,25-01-21,,,,,,,,,0,0,0,1,3
2,"ES Abramov, SV Rogov",New opportunities for Java ME developers with location API 2.0,2009,IEEE EUROCON 2009,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5167669/,"https://scholar.google.com/scholar?cites=13780530588647121667&as_sdt=2005&sciodt=0,5&hl=en",277,25-01-21,CITATION,,,,,,,,2,0.17,1,2,12
0,J Jaster,Vetronics Application Programmer Interfaces (API's),2001,,apps.dtic.mil,https://apps.dtic.mil/sti/pdfs/ADA393806.pdf,,278,25-01-21,PDF,,,,,,,,0,0,0,1,20
1,"R McTague, P Fagan",Architectural refactoring as a strategic tool in the evolution of a web-based SaaS product,2018,Proceedings of the 2nd International Workshop …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3242163.3242166,"https://scholar.google.com/scholar?cites=780290782798859571&as_sdt=2005&sciodt=0,5&hl=en",279,25-01-21,,,,,,,,,1,0.33,1,2,3
17,"P Salza, F Palomba, D Di Nucci, C D'Uva, ...",Do developers update third-party libraries in mobile apps?,2018,Proceedings of the 26th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3196321.3196341,"https://scholar.google.com/scholar?cites=8333452466690868422&as_sdt=2005&sciodt=0,5&hl=en",280,25-01-21,,,,,,,,,17,5.67,3,5,3
108,"I Macia, R Arcoverde, A Garcia, ...",On the relevance of code anomalies for identifying architecture degradation symptoms,2012,2012 16Th european …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6178894/,"https://scholar.google.com/scholar?cites=15617873996385898522&as_sdt=2005&sciodt=0,5&hl=en",281,25-01-21,,,,,,,,,108,12,27,4,9
0,T Tonelli Bartolomei,Migration of Applications across Object-Oriented APIs,2012,,uwspace.uwaterloo.ca,https://uwspace.uwaterloo.ca/handle/10012/6948,,282,25-01-21,,,,,,,,,0,0,0,1,9
7,W Horwat,JavaScript 2.0: Evolving a language for evolving systems,2001,URL http://www. mozilla. org/js/language …,www-archive.mozilla.org,http://www-archive.mozilla.org/js/language/evolvingJS.pdf,"https://scholar.google.com/scholar?cites=10881132794573839501&as_sdt=2005&sciodt=0,5&hl=en",283,25-01-21,PDF,,,,,,,,7,0.35,7,1,20
0,"D Kurzyniec, V Sunderam",Java Class Loading Techniques in the Harness Metacomputing Framework,2001,IFIP International Conference on Distributed …,Springer,https://link.springer.com/chapter/10.1007/0-306-47005-5_26,,284,25-01-21,,,,,,,,,0,0,0,2,20
4,WL Scherlis,"Structural views, structural evolution, and product families",1998,International Workshop on Architectural Reasoning for …,Springer,https://link.springer.com/chapter/10.1007/3-540-68383-6_32,"https://scholar.google.com/scholar?cites=11586032172851576393&as_sdt=2005&sciodt=0,5&hl=en",285,25-01-21,,,,,,,,,4,0.17,4,1,23
0,H Bampende,Third party web API implementation in web application development,2015,,theseus.fi,https://www.theseus.fi/handle/10024/93679,,286,25-01-21,,,,,,,,,0,0,0,1,6
0,"Z Lin, Y Wang, X Chen, X Zheng, ...",Scenario Driven Approach to API Generation for B/S Web Application,2017,… Conference on Green …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8117112/,,287,25-01-21,,,,,,,,,0,0,0,5,4
0,"M Ghute, MM Raghuwanshi",Improving business applications using open web API's,,… on Futuristic Trends in Research and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7583990/,,288,25-01-21,,,,,,,,,0,0,0,2,
1,"J Zhang, GJ Han, N Sun, L Shu, ...",A novel P2P overridden API for open data communications in WWW,2015,2015 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7216830/,"https://scholar.google.com/scholar?cites=11047372842188382134&as_sdt=2005&sciodt=0,5&hl=en",289,25-01-21,,,,,,,,,1,0.17,0,5,6
0,"H Zhong, S Thummalapenta, T Xie",Automated Testing of API Mapping Relations,2011,,researchgate.net,https://www.researchgate.net/profile/Tao_Xie13/publication/267386555_Automated_Testing_of_API_Mapping_Relations/links/547c6fe80cf2a961e48a27f0.pdf,,290,25-01-21,PDF,,,,,,,,0,0,0,3,10
0,W Wu,AURA+ In Detail,2012,,ptidej.net,http://www.ptidej.net/seminars/2012/120217%20-%20Wei%20Wu%20-%20Managing%20API%20Evolution/120217%20-%20Wei%20Wu%20-%20Managing%20API%20Evolution.pdf,,291,25-01-21,PDF,,,,,,,,0,0,0,1,9
1,"ESG Treviño, MZ Hameed, JA Barria",Data stream evolution diagnosis using recursive wavelet density estimators,2018,ACM Transactions on Knowledge …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3106369,"https://scholar.google.com/scholar?cites=9432622431655981234&as_sdt=2005&sciodt=0,5&hl=en",292,25-01-21,,,,,,,,,1,0.33,0,3,3
2,"R Yamamoto, K Ohashi, M Fukuyori, ...",A quality model and its quantitative evaluation method for Web APIs,2018,2018 25th Asia …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8719481/,"https://scholar.google.com/scholar?cites=7254838333347657795&as_sdt=2005&sciodt=0,5&hl=en",293,25-01-21,,,,,,,,,2,0.67,1,4,3
6,ES Ghebremicael,Transformation of REST API to GraphQL for OpenTOSCA,2017,,elib.uni-stuttgart.de,http://elib.uni-stuttgart.de/handle/11682/9369,"https://scholar.google.com/scholar?cites=11496672816966137382&as_sdt=2005&sciodt=0,5&hl=en",294,25-01-21,,,,,,,,,6,1.5,6,1,4
101,"L Wei, Y Liu, SC Cheung",Taming Android fragmentation: Characterizing and detecting compatibility issues for Android apps,2016,Proceedings of the 31st IEEE/ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2970276.2970312,"https://scholar.google.com/scholar?cites=15456344097903598942&as_sdt=2005&sciodt=0,5&hl=en",295,25-01-21,,,,,,,,,101,20.2,34,3,5
268,"P Weißgerber, S Diehl",Identifying refactorings from source-code changes,2006,21st IEEE/ACM international …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4019578/,"https://scholar.google.com/scholar?cites=14415983080872437038&as_sdt=2005&sciodt=0,5&hl=en",296,25-01-21,,,,,,,,,268,17.87,134,2,15
11,"R Yokomori, H Siy, M Noro, ...",Assessing the impact of framework changes using component ranking,2009,2009 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5306323/,"https://scholar.google.com/scholar?cites=16546055532065791075&as_sdt=2005&sciodt=0,5&hl=en",297,25-01-21,,,,,,,,,11,0.92,3,4,12
137,"D Jacobson, G Brail, D Woods",APIs: A strategy guide,2011,,books.google.com,https://books.google.com/books?hl=en&lr=&id=pLN7BxMTg7IC&oi=fnd&pg=PR3&dq=%22api+evolution%22&ots=SzZppz0wEY&sig=bKJSy1nWKwXlmaIQIXKGqm66RAU,"https://scholar.google.com/scholar?cites=13514697117061276375&as_sdt=2005&sciodt=0,5&hl=en",298,25-01-21,BOOK,,,,,,,,137,13.7,46,3,10
5,"C Gutierrez, R Robbes",WEON: towards a software ecosystem ONtology,2013,… of the 2013 International Workshop on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2501585.2501589,"https://scholar.google.com/scholar?cites=12442023086068476833&as_sdt=2005&sciodt=0,5&hl=en",299,25-01-21,,,,,,,,,5,0.63,3,2,8
15,"M Fokaefs, E Stroulia",Using WADL specifications to develop and maintain REST client applications,2015,2015 IEEE International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7195555/,"https://scholar.google.com/scholar?cites=2767998943441523685&as_sdt=2005&sciodt=0,5&hl=en",300,25-01-21,,,,,,,,,15,2.5,8,2,6
0,"G Scanniello, A Marcus",ICPC 2011,,core.ac.uk,,https://core.ac.uk/download/pdf/35344824.pdf,,301,25-01-21,,,,,,,,,0,0,0,2,
1,"I Savga, M Rudolf",Automatic refactoring-based adaptation,2007,Practical Approaches for Software Adaptation,pages.lip6.fr,https://pages.lip6.fr/Pascal.Poizat/documents/publications/CMP07.pdf#page=23,"https://scholar.google.com/scholar?cites=12129195150431190605&as_sdt=2005&sciodt=0,5&hl=en",302,25-01-21,PDF,,,,,,,,1,0.07,1,2,14
10,"H Li, S Thompson, P Lamela Seijas, ...",Automating property-based testing of evolving web services,2014,Proceedings of the ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2543728.2543741,"https://scholar.google.com/scholar?cites=13064778541877249490&as_sdt=2005&sciodt=0,5&hl=en",303,25-01-21,,,,,,,,,10,1.43,3,4,7
2,"李正, 吴敬征, 李明树",API 使用的关键问题研究,2018,软件学报,jos.org.cn,http://www.jos.org.cn/ch/reader/download_pdf_file.aspx?journal_id=jos&file_name=88D0BB702E5C1707DA216DE97314F1CF19E0198366EB5D13140FE354090CC1B27273E9399B248A8C&open_type=self&file_no=5541,"https://scholar.google.com/scholar?cites=1065188563143476508&as_sdt=2005&sciodt=0,5&hl=en",304,25-01-21,PDF,,,,,,,,2,0.67,1,3,3
1,"LA Oubelli, JM Mottu, C Attiogbé",Test Cases Evolution of Mobile Applications,2015,,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-01271467/,"https://scholar.google.com/scholar?cites=11767490711915089898&as_sdt=2005&sciodt=0,5&hl=en",305,25-01-21,,,,,,,,,1,0.17,0,3,6
6,"L Wu, Q Wu, G Liang, Q Wang, ...",Transforming code with compositional mappings for API-library switching,2015,2015 IEEE 39th Annual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7273635/,"https://scholar.google.com/scholar?cites=10509290968999036934&as_sdt=2005&sciodt=0,5&hl=en",306,25-01-21,,,,,,,,,6,1,1,5,6
12,"J Dietrich, K Jezek, P Brada","What Java developers know about compatibility, and why this matters",2016,Empirical Software Engineering,Springer,https://link.springer.com/content/pdf/10.1007/s10664-015-9389-1.pdf,"https://scholar.google.com/scholar?cites=17913817833129331089&as_sdt=2005&sciodt=0,5&hl=en",307,25-01-21,,,,,,,,,12,2.4,4,3,5
14,"D Dig, C Comertoglu, D Marinov, R Johnson",Automatic detection of refactorings for libraries and frameworks,2005,Proceedings of Workshop …,Citeseer,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.116.654&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=9027726459807185987&as_sdt=2005&sciodt=0,5&hl=en",308,25-01-21,PDF,,,,,,,,14,0.88,4,4,16
0,"V Winter, JA McCoy, J Guerrero, CW Reinke, JT Perry",Java Source Code Analysis for API Migration to Embedded Systems,2015,,osti.gov,https://www.osti.gov/biblio/1427245,,309,25-01-21,,,,,,,,,0,0,0,5,6
1,"M Juchli, L Krombeen, S Rao, CS Yu, ...",Mining motivated trends of usage of Haskell libraries,2017,2017 IEEE/ACM 1st …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7965486/,"https://scholar.google.com/scholar?cites=12924059326917120277&as_sdt=2005&sciodt=0,5&hl=en",310,25-01-21,,,,,,,,,1,0.25,0,5,4
2,"V Borovskiy, S Enderlein, A Zeier",Generic Web Services Extensible Functionality with Stable Interface,2009,2009 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5175936/,"https://scholar.google.com/scholar?cites=11052289768642465311&as_sdt=2005&sciodt=0,5&hl=en",311,25-01-21,,,,,,,,,2,0.17,1,3,12
13,"T Zhu, Y Wu, X Peng, Z Xing, ...",Monitoring software quality evolution by analyzing deviation trends of modularity views,2011,2011 18th Working …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6079846/,"https://scholar.google.com/scholar?cites=3882686009223680356&as_sdt=2005&sciodt=0,5&hl=en",312,25-01-21,,,,,,,,,13,1.3,3,5,10
112,"RG Kula, DM German, A Ouni, T Ishio, ...",Do developers update their library dependencies?,2018,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-017-9521-5,"https://scholar.google.com/scholar?cites=662201613823385404&as_sdt=2005&sciodt=0,5&hl=en",313,25-01-21,,,,,,,,,112,37.33,22,5,3
97,"T Schäfer, J Jonas, M Mezini",Mining framework usage changes from instantiation code,2008,… of the 30th international conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1368088.1368153,"https://scholar.google.com/scholar?cites=5491801211418892083&as_sdt=2005&sciodt=0,5&hl=en",314,25-01-21,,,,,,,,,97,7.46,32,3,13
52,"A Gokhale, V Ganapathy, ...",Inferring likely mappings between APIs,2013,2013 35th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6606554/,"https://scholar.google.com/scholar?cites=15274567144079538185&as_sdt=2005&sciodt=0,5&hl=en",315,25-01-21,,,,,,,,,52,6.5,17,3,8
0,J Tulach,API Design,,m.ooyta.com,,https://m.ooyta.com/oy_content/7/0219/160219190510-464m_Practical%20API%20Design.pdf,,316,25-01-21,PDF,,,,,,,,0,0,0,1,
8,"AR Gregersen, BN Jorgensen",Module reload through dynamic update-the case of netbeans,2008,2008 12th European …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4493297/,"https://scholar.google.com/scholar?cites=11538889823715994359&as_sdt=2005&sciodt=0,5&hl=en",317,25-01-21,,,,,,,,,8,0.62,4,2,13
34,"I Şavga, M Rudolf",Refactoring-based support for binary compatibility in evolving frameworks,2007,Proceedings of the 6th international conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1289971.1290000,"https://scholar.google.com/scholar?cites=885183732822478248&as_sdt=2005&sciodt=0,5&hl=en",318,25-01-21,,,,,,,,,34,2.43,17,2,14
3,"W Al-Ateeq, H Al-Khalifa",A hands-on approach to the web of things: The twitter vending machine experience,2016,… of the 18th International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3011141.3011214,"https://scholar.google.com/scholar?cites=7542597726713810418&as_sdt=2005&sciodt=0,5&hl=en",319,25-01-21,,,,,,,,,3,0.6,2,2,5
0,K Vivekanandan,A COMPREHENSIVE REVIEW OF VERSIONING METHODS OF SERVICE ORIENTED ARCHITECTURE,2018,Journal of Computer Engineering and Technology,academia.edu,https://www.academia.edu/download/56107728/IJCET_09_01_010.pdf,,320,25-01-21,PDF,,,,,,,,0,0,0,1,3
4,"A Bartuskova, O Krejcar, K Kuca",Evolutionary approach of general system theory applied on web applications analysis,2015,Advanced Computer and …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-07674-4_41,"https://scholar.google.com/scholar?cites=11598216333274742217&as_sdt=2005&sciodt=0,5&hl=en",321,25-01-21,,,,,,,,,4,0.67,1,3,6
0,"T Górski, E Wojtach",Use Case API-design pattern for shared data,2018,2018 26th International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8638199/,,322,25-01-21,,,,,,,,,0,0,0,2,3
52,"C Teyton, JR Falleri, M Palyart, ...",A study of library migrations in java,2014,Journal of Software …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1660,"https://scholar.google.com/scholar?cites=15474631040492038980&as_sdt=2005&sciodt=0,5&hl=en",323,25-01-21,,,,,,,,,52,7.43,13,4,7
0,P Siriwardena,Managed APIs,2014,Advanced API Security,Springer,https://link.springer.com/chapter/10.1007/978-1-4302-6817-8_1,,324,25-01-21,,,,,,,,,0,0,0,1,7
2,"I Şavga, M Rudolf",Refactoring-based adaptation of adaptation specifications,2008,"Software Engineering Research, Management and …",Springer,https://link.springer.com/chapter/10.1007/978-3-540-70561-1_14,"https://scholar.google.com/scholar?cites=10854444212655284548&as_sdt=2005&sciodt=0,5&hl=en",325,25-01-21,,,,,,,,,2,0.15,1,2,13
48,"T Mens, A Serebrenik, A Cleve",Evolving Software Systems,2014,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-642-45398-4.pdf,"https://scholar.google.com/scholar?cites=15846120967743213786&as_sdt=2005&sciodt=0,5&hl=en",326,25-01-21,BOOK,,,,,,,,48,6.86,16,3,7
19,"W Ahmad, C Kästner, J Sunshine, ...",Inter-app communication in android: Developer challenges,2016,2016 IEEE/ACM 13th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7832898/,"https://scholar.google.com/scholar?cites=8332186405631407938&as_sdt=2005&sciodt=0,5&hl=en",327,25-01-21,,,,,,,,,19,3.8,5,4,5
0,"D Exertier, B Langlois, O Cault, ...",Multi-Platform MDE Workbench Architecture,2008,19th Australian …,search.informit.com.au,https://search.informit.com.au/documentSummary;dn=900655652264983;res=IELENG,,328,25-01-21,,,,,,,,,0,0,0,4,13
4,"J Yang, E Wittern, ATT Ying, J Dolby, L Tan",Automatically extracting web api specifications from html documentation,2018,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1801.08928,"https://scholar.google.com/scholar?cites=5205776959534142707&as_sdt=2005&sciodt=0,5&hl=en",329,25-01-21,,,,,,,,,4,1.33,1,5,3
9,"F Zampetti, L Ponzanelli, G Bavota, ...",How developers document pull requests with external references,2017,2017 IEEE/ACM 25th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7961501/,"https://scholar.google.com/scholar?cites=12002669202047763519&as_sdt=2005&sciodt=0,5&hl=en",330,25-01-21,,,,,,,,,9,2.25,2,4,4
7,"H Alrubaye, MW Mkaouer",Automating the detection of third-party Java library migration at the function level.,2018,CASCON,alruabye.net,http://alruabye.net/papers/cascon2018.pdf,"https://scholar.google.com/scholar?cites=7776516755083838060&as_sdt=2005&sciodt=0,5&hl=en",331,25-01-21,PDF,,,,,,,,7,2.33,4,2,3
0,"J Cleare, C Iacob",GemChecker: Reporting on the Status of Gems in Ruby on Rails Projects,2018,2018 IEEE International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8530083/,,332,25-01-21,,,,,,,,,0,0,0,2,3
86,"G Bavota, G Canfora, M Di Penta, R Oliveto, ...",How the Apache community upgrades dependencies: an evolutionary study,2015,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-014-9325-9,"https://scholar.google.com/scholar?cites=12496937696341546998&as_sdt=2005&sciodt=0,5&hl=en",333,25-01-21,,,,,,,,,86,14.33,17,5,6
55,"P Kapur, B Cossette, RJ Walker",Refactoring references for library migration,2010,… of the ACM international conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1869459.1869518,"https://scholar.google.com/scholar?cites=3117914143171453424&as_sdt=2005&sciodt=0,5&hl=en",334,25-01-21,,,,,,,,,55,5,18,3,11
7,"A Vázquez-Ingelmo, FJ García-Peñalvo, ...",Domain engineering for generating dashboards to analyze employment and employability in the academic context,2018,Proceedings of the Sixth …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3284179.3284329,"https://scholar.google.com/scholar?cites=11537171747286694022&as_sdt=2005&sciodt=0,5&hl=en",335,25-01-21,,,,,,,,,7,2.33,2,3,3
2,"Y Yu, A Bandara, TT Tun, B Nuseibeh",Towards learning to detect meaningful changes in software,2011,Proceedings of the International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2070821.2070828,"https://scholar.google.com/scholar?cites=422644873763655481&as_sdt=2005&sciodt=0,5&hl=en",336,25-01-21,,,,,,,,,2,0.2,1,4,10
12,"RG Kula, C De Roover, DM German, ...","A generalized model for visualizing library popularity, adoption, and diffusion within a software ecosystem",2018,2018 IEEE 25th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8330217/,"https://scholar.google.com/scholar?cites=9023899317601192993&as_sdt=2005&sciodt=0,5&hl=en",337,25-01-21,,,,,,,,,12,4,3,4,3
